Card Name,Fair Value,Trend,Top 3 Prices,Median (All),Min,Max,Num Sales
2024 Upper Deck PWHL 1st Edition - [Base] - Exclusives #15 - Akane Shiga #15/100,$2.57,down,$2.57 | $3.3 | $2.94,$2.85,$2.38,$3.72,8
2023-24 O-Pee-Chee Platinum - [Base] - Violet Pixels #236 - Marquee Rookies - Connor Zary [Passed Pre‑Grade Review] #168/299,$2.38,down,$3.86 | $2.38 | $3.26,$3.86,$2.38,$12.60,9
2024 Upper Deck PWHL 1st Edition - [Base] #60 - Young Guns - Ann-Renee Desbiens,$27.00,up,$8.45 | $27.0 | $12.48,$20.53,$8.45,$29.94,10
"2025 Upper Deck GR8 Moments - [Base] - Red #GR-6 - (Jun. 7, 2018) - Alex Ovechkin Lifts Stanley Cup",$12.92,up,$12.92 | $12.6 | $10.61,$12.60,$10.61,$12.92,3
2024 Upper Deck PWHL 1st Edition - [Base] - Exclusives #3 - Elaine Chuli #68/100,$2.94,down,$3.3 | $12.0 | $2.94,$3.66,$1.46,$12.00,13
2024 Upper Deck PWHL 1st Edition - [Base] #65 - Young Guns - Marie-Philip Poulin,$70.66,stable,$121.26 | $69.0 | $70.66,$88.42,$54.00,$189.57,11
2024-25 Upper Deck Series 2 - [Base] #492 - Young Guns - Matvei Michkov,$37.78,stable,$37.1 | $44.55 | $37.78,$38.06,$15.00,$72.44,44
2024 Upper Deck PWHL 1st Edition - [Base] - Outburst #56 - Young Guns - Alina Muller,$22.36,no data,$22.36,$22.36,$22.36,$22.36,1
"2025 Upper Deck GR8 Moments - [Base] - Red #GR-4 - (Jan. 21, 2010) - Alex Ovechkin Reaches 250 Goals",$20.01,up,$14.6 | $20.01 | $10.61,$14.75,$10.61,$20.40,5
2024 Upper Deck PWHL 1st Edition - Dazzlers #DZ-2 - Marie-Philip Poulin,$33.97,up,$33.97 | $29.91 | $23.5,$29.91,$19.18,$33.97,5
2024 Upper Deck PWHL 1st Edition - [Base] #63 - Young Guns - Natalie Spooner,$40.79,up,$8.45 | $40.79 | $12.48,$18.10,$6.50,$40.79,12
2024 Upper Deck PWHL 1st Edition - [Base] #51 - Young Guns - Sarah Nurse,$54.39,up,$8.45 | $42.2 | $54.39,$18.37,$8.45,$54.39,17
"2025 Upper Deck GR8 Moments - [Base] - Photo Variant Achievement #GR-8V - (Apr. 6, 2025) - Alex Ovechkin Breaks NHL Goals Record",$23.55,up,$23.03 | $23.55 | $23.03,$23.03,$17.08,$23.55,4
2023-24 Upper Deck Parkhurst - Prominent Prospects #PP-KN - Matthew Knies,$7.19,down,$7.19 | $25.79 | $13.73,$13.73,$7.19,$25.79,3
2023-24 Upper Deck Parkhurst - Prominent Prospects - Blue #PP-MA - Matthew Kessel [Passed Pre‑Grade Review] #24/25,$5.00,no data,,$5.00,$5.00,$5.00,0
2024-25 Upper Deck Series 1 - Young Guns Renewed #YGR-21 - Carey Price,$12.27,up,$12.27 | $4.37 | $3.3,$4.99,$1.99,$14.69,38
2024-25 SPx - Holoview F/X #HV-9 - William Nylander,$2.93,down,$2.93 | $5.05 | $3.67,$4.36,$2.93,$10.29,4
2023-24 Upper Deck Parkhurst - Prominent Prospects - Purple #PP-BF - Brock Faber [Passed Pre‑Grade Review] #15/99,$5.00,no data,,$5.00,$5.00,$5.00,0
2023-24 O-Pee-Chee Platinum - [Base] - NHL Shield Variations #203 - Marquee Rookies - Adam Fantilli [PSA 10 GEM MT],$65.56,no data,$65.56,$65.56,$65.56,$65.56,1
2024-25 Upper Deck Series 1 - [Base] #227 - Young Guns - Frank Nazar,$19.83,stable,$18.37 | $25.35 | $19.83,$18.00,$6.60,$47.00,38
2023-24 Upper Deck Allure - [Base] - Hypnosis #124 - Rookies - Matthew Kessel [Passed Pre‑Grade Review],$4.04,down,$4.04 | $10.6 | $19.58,$12.28,$4.04,$22.89,8
2021-22 Upper Deck Fleer Ultra - [Base] - Blue Foil #100 - Connor McDavid [Passed Pre‑Grade Review] #243/399,$18.99,stable,$33.28 | $10.75 | $18.99,$18.99,$5.87,$36.98,11
2023-24 O-Pee-Chee Platinum - [Base] - Red Prism #201 - Marquee Rookies - Connor Bedard [PSA 9 MINT] #70/199,$96.98,up,$96.98 | $60.21 | $68.47,$81.00,$48.55,$118.28,14
2023-24 O-Pee-Chee Platinum - [Base] - Pond Hockey Variants #203 - Marquee Rookies - Adam Fantilli [PSA 10 GEM MT],$65.56,no data,$65.56,$65.56,$65.56,$65.56,1
2025 Upper Deck DC x NHL Crossover - [Base] - Gold #4 - Superman™ & Krypto™,$15.32,up,$15.32 | $12.79,$14.05,$12.79,$15.32,2
2023-24 Upper Deck Allure - Color Flow - Orange Yellow Spectrum #CF-16 - Connor Bedard [PSA 10 GEM MT] #125/199,$166.98,up,$92.94 | $166.98 | $91.98,$93.95,$58.02,$166.98,17
2025 Upper Deck DC x NHL Crossover - [Base] - Silver #4 - Superman™ & Krypto™,$17.35,up,$17.35 | $13.92 | $12.6,$12.79,$12.60,$17.35,11
2024-25 Upper Deck Series 2 - [Base] - Outburst #461 - Young Guns - Oliver Kapanen,$46.01,down,$92.78 | $46.01 | $51.0,$82.00,$22.99,$139.60,7
2025 Upper Deck DC x NHL Crossover - [Base] #1 - Wayne Gretzky,$12.60,stable,$12.5 | $12.6 | $13.01,$15.11,$6.98,$37.93,27
2025 Upper Deck DC x NHL Crossover - [Base] - Canvas Achievement #3 - Superman™,$15.01,stable,$12.5 | $17.08 | $15.01,$13.02,$6.99,$21.45,20
2023-24 O-Pee-Chee Platinum - [Base] - Red Prism #293 - Marquee Rookies - Leo Carlsson [PSA 10 GEM MT] #53/199,$167.50,no data,$167.5,$167.50,$167.50,$167.50,1
2024 Fleer Scooby Doo - S-S-Scared S-S-Sketches #SKT - Ryan Finley,$5.00,no data,,$5.00,$5.00,$5.00,0
2023-24 O-Pee-Chee Platinum - [Base] - Pond Hockey Variants #202 - Marquee Rookies - Logan Cooley [PSA 10 GEM MT],$52.33,no data,$52.33,$52.33,$52.33,$52.33,1
2023-24 Upper Deck Series 1 - [Base] #248 - Young Guns - Luke Hughes [PSA 9 MINT],$22.00,down,$24.97 | $24.98 | $22.0,$25.17,$22.00,$45.99,12
2023-24 O-Pee-Chee Platinum - [Base] - Emerald Surge #53 - Nick Suzuki [PSA 10 GEM MT] #10/10,$5.00,no data,,$5.00,$5.00,$5.00,0
2020-21 Upper Deck - [Base] - Photo Variation #419 - Auston Matthews [Poor to Fair],$15.38,no data,$15.38,$15.38,$15.38,$15.38,1
2023-24 Upper Deck Allure - [Base] - Blue Line Auto Jersey #114 - Rookies - Leo Carlsson #28/35,$14.48,down,$14.48 | $15.92 | $15.92,$14.45,$4.55,$25.35,39
2023-24 O-Pee-Chee Platinum - [Base] - Emerald Surge #14 - Jake Sanderson #1/10,$19.94,up,$19.94 | $11.2 | $5.14,$10.41,$3.29,$22.14,13
2023-24 O-Pee-Chee Platinum - [Base] - Violet Pixels #201 - Marquee Rookies - Connor Bedard [PSA 10 GEM MT] #260/299,$134.34,up,$103.39 | $79.35 | $134.34,$117.75,$79.35,$360.39,16
1998-99 In the Game Be A Player - [Base] - Gold 20th National Atlanta #284 - Curtis Joseph #8/10,$2.17,down,$2.17 | $31.77,$16.97,$2.17,$31.77,2
2024-25 O-Pee-Chee Platinum - [Base] - Rainbow #206 - Marquee Rookies - Frank Nazar,$11.46,no data,$11.46,$11.46,$11.46,$11.46,1
2023-24 SPx - Finite Rookies - Silver Spectrum #F-3 - Matthew Knies #24/49,$12.25,no data,$12.25,$12.25,$12.25,$12.25,1
